transcript,incident_type,address,city,zipcode,casualties,reporting_time,reporter
Speaker 2: There's a vehicle fire at 239 PARK AVE. Casualties reported: unknown number trapped,vehicle fire,239 PARK AVE,DELAWARE,43015,unknown number trapped,2024-10-29T09:59:53.476268,Speaker 2
Speaker 2: There's a gas leak at 2714 LEONARDSBURG RD. Casualties reported: children trapped,gas leak,2714 LEONARDSBURG RD,DELAWARE,43015,children trapped,2024-06-04T18:39:53.476330,Speaker 2
Speaker 2: There's a false alarm at 165 CRYSTAL PETAL DR. No one is hurt.,false alarm,165 CRYSTAL PETAL DR,DELAWARE,43015,none,2025-03-21T00:27:53.476417,Speaker 2
Speaker 2: There's a industrial fire at 59 SHEARER PL STE 206. Casualties reported: children trapped,industrial fire,59 SHEARER PL STE 206,DELAWARE,43015,children trapped,2024-09-14T12:24:53.476476,Speaker 2
Speaker 2: There's a structure fire at 775 KINGSBURY RD. Casualties reported: unknown number trapped,structure fire,775 KINGSBURY RD,DELAWARE,43015,unknown number trapped,2024-06-02T17:25:53.476543,Speaker 2
Speaker 2: There's a wildfire at 643 COVERED BRIDGE DR. Casualties reported: pets inside,wildfire,643 COVERED BRIDGE DR,DELAWARE,43015,pets inside,2024-09-05T16:24:53.476617,Speaker 2
Speaker 2: There's a wildfire at 6982 MERCHANT RD. Casualties reported: unknown number trapped,wildfire,6982 MERCHANT RD,DELAWARE,43015,unknown number trapped,2024-11-01T17:11:53.476677,Speaker 2
Speaker 2: There's a wildfire at 264 KERRY PARK CIR. Casualties reported: pets inside,wildfire,264 KERRY PARK CIR,DELAWARE,43015,pets inside,2024-04-18T22:12:53.476759,Speaker 2
Speaker 2: There's a structure fire at 281 BEVAN WAY. Casualties reported: caller trapped,structure fire,281 BEVAN WAY,DELAWARE,43015,caller trapped,2025-01-06T12:06:53.476819,Speaker 2
Speaker 2: There's a electrical fire at 98 CARRIAGE DR APT J. No one is hurt.,electrical fire,98 CARRIAGE DR APT J,DELAWARE,43015,none,2024-06-03T05:15:53.476873,Speaker 2
Speaker 2: There's a kitchen fire at 4298 S SECTION LINE RD. Casualties reported: elderly person trapped,kitchen fire,4298 S SECTION LINE RD,DELAWARE,43015,elderly person trapped,2024-09-17T22:09:53.476930,Speaker 2
Speaker 2: There's a electrical fire at 104 GLEN MAWR CIR. Casualties reported: children trapped,electrical fire,104 GLEN MAWR CIR,DELAWARE,43015,children trapped,2024-06-25T08:06:53.477013,Speaker 2
Speaker 2: There's a structure fire at 280 WYMAN LAKE DR. Casualties reported: caller trapped,structure fire,280 WYMAN LAKE DR,DELAWARE,43015,caller trapped,2025-03-21T02:11:53.477074,Speaker 2
Speaker 2: There's a false alarm at 611 WILLEY RD. Casualties reported: caller escaped alone,false alarm,611 WILLEY RD,DELAWARE,43015,caller escaped alone,2025-01-11T20:07:53.477142,Speaker 2
Speaker 2: There's a wildfire at 489 ROCHDALE RUN. Casualties reported: caller trapped,wildfire,489 ROCHDALE RUN,DELAWARE,43015,caller trapped,2025-02-24T16:25:53.477211,Speaker 2
Speaker 2: There's a electrical fire at 2180 HORSESHOE RD. Casualties reported: pets inside,electrical fire,2180 HORSESHOE RD,DELAWARE,43015,pets inside,2024-05-01T23:02:53.477274,Speaker 2
Speaker 2: There's a industrial fire at 119 GEORGETOWNE DR. Casualties reported: caller escaped alone,industrial fire,119 GEORGETOWNE DR,DELAWARE,43015,caller escaped alone,2024-07-23T14:44:53.477344,Speaker 2
Speaker 2: There's a vehicle fire at 693 STONEWATER CT. Casualties reported: unknown number trapped,vehicle fire,693 STONEWATER CT,DELAWARE,43015,unknown number trapped,2024-11-14T22:06:53.477401,Speaker 2
Speaker 2: There's a false alarm at 7470 CONCORD RD. No one is hurt.,false alarm,7470 CONCORD RD,DELAWARE,43015,none,2024-07-03T16:15:53.477479,Speaker 2
Speaker 2: There's a kitchen fire at 147 BEECH DR. Casualties reported: elderly person trapped,kitchen fire,147 BEECH DR,DELAWARE,43015,elderly person trapped,2024-06-28T14:56:53.477537,Speaker 2
Speaker 2: There's a industrial fire at 7835 WAYSIDE AVE. Casualties reported: elderly person trapped,industrial fire,7835 WAYSIDE AVE,DELAWARE,43015,elderly person trapped,2024-08-15T03:17:53.477602,Speaker 2
Speaker 2: There's a industrial fire at 464 ABLEMARLE CIR. Casualties reported: pets inside,industrial fire,464 ABLEMARLE CIR,DELAWARE,43015,pets inside,2025-02-20T04:56:53.477680,Speaker 2
Speaker 2: There's a industrial fire at 90 BELLE AVE. Casualties reported: caller escaped alone,industrial fire,90 BELLE AVE,DELAWARE,43015,caller escaped alone,2024-12-17T18:19:53.477752,Speaker 2
Speaker 2: There's a structure fire at 117 BEECH CT. Casualties reported: caller escaped alone,structure fire,117 BEECH CT,DELAWARE,43015,caller escaped alone,2025-01-09T02:40:53.477838,Speaker 2
Speaker 2: There's a wildfire at 1330 HANOVER RD LOT 81. Casualties reported: children trapped,wildfire,1330 HANOVER RD LOT 81,DELAWARE,43015,children trapped,2024-04-07T17:39:53.477932,Speaker 2
Speaker 2: There's a wildfire at 336 HOUK RD. Casualties reported: pets inside,wildfire,336 HOUK RD,DELAWARE,43015,pets inside,2024-04-10T01:04:53.477992,Speaker 2
Speaker 2: There's a structure fire at 248 THORNAPPLE TRL. Casualties reported: caller trapped,structure fire,248 THORNAPPLE TRL,DELAWARE,43015,caller trapped,2024-12-17T05:10:53.478070,Speaker 2
Speaker 2: There's a electrical fire at 119 FLINT ROCK DR. Casualties reported: pets inside,electrical fire,119 FLINT ROCK DR,DELAWARE,43015,pets inside,2024-11-19T02:46:53.478171,Speaker 2
Speaker 2: There's a electrical fire at 5202 US HIGHWAY 23 N Area4-47. Casualties reported: elderly person trapped,electrical fire,5202 US HIGHWAY 23 N Area4-47,DELAWARE,43015,elderly person trapped,2025-01-19T04:24:53.478242,Speaker 2
Speaker 2: There's a gas leak at 119 CURLY SMART CIR. Casualties reported: unknown number trapped,gas leak,119 CURLY SMART CIR,DELAWARE,43015,unknown number trapped,2024-09-23T16:51:53.478312,Speaker 2
Speaker 2: There's a wildfire at 4233 CURVE RD. Casualties reported: elderly person trapped,wildfire,4233 CURVE RD,DELAWARE,43015,elderly person trapped,2024-05-14T23:11:53.478384,Speaker 2
Speaker 2: There's a structure fire at 111 ROSS ST APT A. Casualties reported: pets inside,structure fire,111 ROSS ST APT A,DELAWARE,43015,pets inside,2024-11-20T01:17:53.478456,Speaker 2
Speaker 2: There's a structure fire at 111 EQUESTRIAN WAY. Casualties reported: unknown number trapped,structure fire,111 EQUESTRIAN WAY,DELAWARE,43015,unknown number trapped,2025-03-10T22:32:53.478530,Speaker 2
Speaker 2: There's a wildfire at 271 TARA GLEN DR. Casualties reported: unknown number trapped,wildfire,271 TARA GLEN DR,DELAWARE,43015,unknown number trapped,2025-03-16T12:34:53.478595,Speaker 2
Speaker 2: There's a electrical fire at 118 ROSS ST. Casualties reported: caller escaped alone,electrical fire,118 ROSS ST,DELAWARE,43015,caller escaped alone,2024-12-07T08:21:53.478664,Speaker 2
Speaker 2: There's a structure fire at 94 MUIRWOOD VILLAGE DR. Casualties reported: caller trapped,structure fire,94 MUIRWOOD VILLAGE DR,DELAWARE,43015,caller trapped,2025-01-03T15:17:53.478727,Speaker 2
Speaker 2: There's a vehicle fire at 24 HAYES DR. Casualties reported: pets inside,vehicle fire,24 HAYES DR,DELAWARE,43015,pets inside,2024-10-20T16:34:53.478793,Speaker 2
Speaker 2: There's a industrial fire at 101 HORIZON CT. Casualties reported: pets inside,industrial fire,101 HORIZON CT,DELAWARE,43015,pets inside,2024-11-25T07:03:53.478858,Speaker 2
Speaker 2: There's a wildfire at 82 N WASHINGTON ST. Casualties reported: unknown number trapped,wildfire,82 N WASHINGTON ST,DELAWARE,43015,unknown number trapped,2024-08-17T21:40:53.478935,Speaker 2
Speaker 2: There's a gas leak at 610 CONGRESS CT. Casualties reported: caller escaped alone,gas leak,610 CONGRESS CT,DELAWARE,43015,caller escaped alone,2025-03-20T16:49:53.478989,Speaker 2
Speaker 2: There's a vehicle fire at 2121 PANHANDLE RD LOT 56. Casualties reported: pets inside,vehicle fire,2121 PANHANDLE RD LOT 56,DELAWARE,43015,pets inside,2024-04-09T17:50:53.479043,Speaker 2
Speaker 2: There's a industrial fire at 5819 HENDERSON DR. Casualties reported: children trapped,industrial fire,5819 HENDERSON DR,DELAWARE,43015,children trapped,2024-08-14T07:10:53.479098,Speaker 2
Speaker 2: There's a gas leak at 980 BOULDER DR. Casualties reported: unknown number trapped,gas leak,980 BOULDER DR,DELAWARE,43015,unknown number trapped,2025-01-08T23:27:53.479163,Speaker 2
Speaker 2: There's a industrial fire at 50 ROSS ST. Casualties reported: unknown number trapped,industrial fire,50 ROSS ST,DELAWARE,43015,unknown number trapped,2024-11-08T21:03:53.479241,Speaker 2
Speaker 2: There's a vehicle fire at 225 COTTSWOLD DR. Casualties reported: pets inside,vehicle fire,225 COTTSWOLD DR,DELAWARE,43015,pets inside,2025-01-16T01:02:53.479313,Speaker 2
Speaker 2: There's a false alarm at 18 S UNION ST. No one is hurt.,false alarm,18 S UNION ST,DELAWARE,43015,none,2024-07-19T16:29:53.479382,Speaker 2
Speaker 2: There's a kitchen fire at 341 N FRANKLIN ST. Casualties reported: children trapped,kitchen fire,341 N FRANKLIN ST,DELAWARE,43015,children trapped,2024-05-25T19:49:53.479443,Speaker 2
Speaker 2: There's a structure fire at 291 W FOUNTAIN AVE. Casualties reported: pets inside,structure fire,291 W FOUNTAIN AVE,DELAWARE,43015,pets inside,2024-11-02T19:31:53.479522,Speaker 2
Speaker 2: There's a electrical fire at 33 WATERS EDGE CIR. Casualties reported: caller escaped alone,electrical fire,33 WATERS EDGE CIR,DELAWARE,43015,caller escaped alone,2025-03-27T12:29:53.479587,Speaker 2
Speaker 2: There's a electrical fire at 4999 STATE ROUTE 37 E. Casualties reported: unknown number trapped,electrical fire,4999 STATE ROUTE 37 E,DELAWARE,43015,unknown number trapped,2024-04-02T09:00:53.479660,Speaker 2
Speaker 2: There's a industrial fire at 261 KERRY PARK CIR. Casualties reported: caller escaped alone,industrial fire,261 KERRY PARK CIR,DELAWARE,43015,caller escaped alone,2024-08-28T02:56:53.479725,Speaker 2
Speaker 2: There's a false alarm at 837 N HOUK RD. Casualties reported: children trapped,false alarm,837 N HOUK RD,DELAWARE,43015,children trapped,2025-02-20T06:47:53.479782,Speaker 2
Speaker 2: There's a vehicle fire at 40 VERNON AVE. Casualties reported: caller trapped,vehicle fire,40 VERNON AVE,DELAWARE,43015,caller trapped,2024-12-31T13:48:53.479861,Speaker 2
Speaker 2: There's a wildfire at 74 WEBB ST. Casualties reported: elderly person trapped,wildfire,74 WEBB ST,DELAWARE,43015,elderly person trapped,2025-01-23T12:17:53.479917,Speaker 2
Speaker 2: There's a gas leak at 307 QUARTER WAY. No one is hurt.,gas leak,307 QUARTER WAY,DELAWARE,43015,none,2025-02-03T11:31:53.479982,Speaker 2
Speaker 2: There's a industrial fire at 321 LINWOOD ST. No one is hurt.,industrial fire,321 LINWOOD ST,DELAWARE,43015,none,2024-11-11T10:13:53.480067,Speaker 2
Speaker 2: There's a electrical fire at 32 TIMMONS WOODS DR. Casualties reported: children trapped,electrical fire,32 TIMMONS WOODS DR,DELAWARE,43015,children trapped,2024-06-06T20:16:53.480151,Speaker 2
Speaker 2: There's a vehicle fire at 275 CHELSEA ST APT C. No one is hurt.,vehicle fire,275 CHELSEA ST APT C,DELAWARE,43015,none,2025-03-20T04:59:53.480238,Speaker 2
Speaker 2: There's a kitchen fire at 3679 US HIGHWAY 42 N. No one is hurt.,kitchen fire,3679 US HIGHWAY 42 N,DELAWARE,43015,none,2024-10-03T19:28:53.480296,Speaker 2
Speaker 2: There's a kitchen fire at 142 LAKES AT CHESHIRE DR. No one is hurt.,kitchen fire,142 LAKES AT CHESHIRE DR,DELAWARE,43015,none,2024-10-12T21:37:53.480376,Speaker 2
Speaker 2: There's a kitchen fire at 88 OAK HILL AVE. Casualties reported: caller trapped,kitchen fire,88 OAK HILL AVE,DELAWARE,43015,caller trapped,2025-02-05T23:18:53.480435,Speaker 2
Speaker 2: There's a vehicle fire at 120 LIPPAZON WAY. No one is hurt.,vehicle fire,120 LIPPAZON WAY,DELAWARE,43015,none,2025-02-05T15:40:53.480489,Speaker 2
Speaker 2: There's a kitchen fire at 2310 HOME RD. Casualties reported: caller trapped,kitchen fire,2310 HOME RD,DELAWARE,43015,caller trapped,2024-06-12T17:08:53.480560,Speaker 2
Speaker 2: There's a wildfire at 55 WILDER ST. Casualties reported: pets inside,wildfire,55 WILDER ST,DELAWARE,43015,pets inside,2025-01-04T19:06:53.480635,Speaker 2
Speaker 2: There's a kitchen fire at 5202 US HIGHWAY 23 N Area3-83. No one is hurt.,kitchen fire,5202 US HIGHWAY 23 N Area3-83,DELAWARE,43015,none,2024-08-21T05:16:53.480718,Speaker 2
Speaker 2: There's a false alarm at 548 ABLEMARLE CIR. No one is hurt.,false alarm,548 ABLEMARLE CIR,DELAWARE,43015,none,2025-01-05T03:42:53.480779,Speaker 2
Speaker 2: There's a electrical fire at 380 N UNION ST. No one is hurt.,electrical fire,380 N UNION ST,DELAWARE,43015,none,2025-02-20T18:00:53.480840,Speaker 2
Speaker 2: There's a kitchen fire at 2090 TROY RD. Casualties reported: unknown number trapped,kitchen fire,2090 TROY RD,DELAWARE,43015,unknown number trapped,2024-11-09T13:46:53.480905,Speaker 2
Speaker 2: There's a structure fire at 6755 MERCHANT RD. Casualties reported: caller escaped alone,structure fire,6755 MERCHANT RD,DELAWARE,43015,caller escaped alone,2024-06-18T02:59:53.480975,Speaker 2
Speaker 2: There's a industrial fire at 1869 ASHBURN DR. Casualties reported: elderly person trapped,industrial fire,1869 ASHBURN DR,DELAWARE,43015,elderly person trapped,2024-04-25T11:33:53.481031,Speaker 2
Speaker 2: There's a vehicle fire at 1590 MAPLE HEIGHTS DR. Casualties reported: unknown number trapped,vehicle fire,1590 MAPLE HEIGHTS DR,DELAWARE,43015,unknown number trapped,2025-01-30T08:30:53.481102,Speaker 2
Speaker 2: There's a industrial fire at 2955 ROYAL DORNOCH CIR. Casualties reported: caller escaped alone,industrial fire,2955 ROYAL DORNOCH CIR,DELAWARE,43015,caller escaped alone,2024-09-15T20:55:53.481157,Speaker 2
Speaker 2: There's a wildfire at 5 ORCHID CIR STE 2224. Casualties reported: unknown number trapped,wildfire,5 ORCHID CIR STE 2224,DELAWARE,43015,unknown number trapped,2024-09-30T00:36:53.481210,Speaker 2
Speaker 2: There's a kitchen fire at 78 LIPPAZON WAY. Casualties reported: elderly person trapped,kitchen fire,78 LIPPAZON WAY,DELAWARE,43015,elderly person trapped,2024-06-30T00:54:53.481263,Speaker 2
Speaker 2: There's a electrical fire at 100 ROLLING MEADOWS DR APT G. Casualties reported: caller trapped,electrical fire,100 ROLLING MEADOWS DR APT G,DELAWARE,43015,caller trapped,2024-07-06T22:21:53.481318,Speaker 2
Speaker 2: There's a vehicle fire at 226 FLINT ROCK DR. Casualties reported: children trapped,vehicle fire,226 FLINT ROCK DR,DELAWARE,43015,children trapped,2024-11-10T03:03:53.481370,Speaker 2
Speaker 2: There's a wildfire at 244 S FRANKLIN ST. Casualties reported: pets inside,wildfire,244 S FRANKLIN ST,DELAWARE,43015,pets inside,2024-12-06T07:25:53.481442,Speaker 2
Speaker 2: There's a false alarm at 147 JOY AVE. Casualties reported: children trapped,false alarm,147 JOY AVE,DELAWARE,43015,children trapped,2024-10-24T22:31:53.481510,Speaker 2
Speaker 2: There's a gas leak at 63 STILSON ST. Casualties reported: caller escaped alone,gas leak,63 STILSON ST,DELAWARE,43015,caller escaped alone,2025-03-27T02:21:53.481563,Speaker 2
Speaker 2: There's a gas leak at 580 ELBRIDGE ST. Casualties reported: caller escaped alone,gas leak,580 ELBRIDGE ST,DELAWARE,43015,caller escaped alone,2024-11-13T14:15:53.481624,Speaker 2
Speaker 2: There's a wildfire at 465 WINTER RD. Casualties reported: caller trapped,wildfire,465 WINTER RD,DELAWARE,43015,caller trapped,2025-03-15T02:27:53.481686,Speaker 2
Speaker 2: There's a kitchen fire at 360 BASSWOOD ST. Casualties reported: unknown number trapped,kitchen fire,360 BASSWOOD ST,DELAWARE,43015,unknown number trapped,2024-11-16T04:10:53.481751,Speaker 2
Speaker 2: There's a vehicle fire at 3464 TROY RD. Casualties reported: children trapped,vehicle fire,3464 TROY RD,DELAWARE,43015,children trapped,2024-10-13T10:57:53.481807,Speaker 2
Speaker 2: There's a kitchen fire at 101 W HARRISON ST. Casualties reported: unknown number trapped,kitchen fire,101 W HARRISON ST,DELAWARE,43015,unknown number trapped,2025-03-15T10:09:53.481907,Speaker 2
Speaker 2: There's a electrical fire at 2911 S OLD STATE RD Area2-A6. Casualties reported: children trapped,electrical fire,2911 S OLD STATE RD Area2-A6,DELAWARE,43015,children trapped,2024-12-01T23:18:53.482001,Speaker 2
Speaker 2: There's a structure fire at 163 LEXINGTON BLVD. Casualties reported: children trapped,structure fire,163 LEXINGTON BLVD,DELAWARE,43015,children trapped,2025-01-20T22:25:53.482086,Speaker 2
Speaker 2: There's a false alarm at 35 LEXINGTON BLVD APT 318. Casualties reported: children trapped,false alarm,35 LEXINGTON BLVD APT 318,DELAWARE,43015,children trapped,2024-05-15T21:55:53.482156,Speaker 2
Speaker 2: There's a wildfire at 64 DEERFIELD PL. No one is hurt.,wildfire,64 DEERFIELD PL,DELAWARE,43015,none,2024-08-09T11:56:53.482209,Speaker 2
Speaker 2: There's a wildfire at 90 LAKE ST. Casualties reported: unknown number trapped,wildfire,90 LAKE ST,DELAWARE,43015,unknown number trapped,2024-04-08T13:11:53.482263,Speaker 2
Speaker 2: There's a electrical fire at 15 CHERRY BLOSSOM SQ STE 2207. No one is hurt.,electrical fire,15 CHERRY BLOSSOM SQ STE 2207,DELAWARE,43015,none,2024-07-31T13:59:53.482322,Speaker 2
Speaker 2: There's a electrical fire at 132 COURAGE CT. Casualties reported: children trapped,electrical fire,132 COURAGE CT,DELAWARE,43015,children trapped,2024-10-04T20:21:53.482384,Speaker 2
Speaker 2: There's a wildfire at 180 GOLDEN GARDENS WEST. Casualties reported: children trapped,wildfire,180 GOLDEN GARDENS WEST,DELAWARE,43015,children trapped,2024-05-08T23:02:53.482439,Speaker 2
Speaker 2: There's a gas leak at 467 WHEATFIELD DR. Casualties reported: elderly person trapped,gas leak,467 WHEATFIELD DR,DELAWARE,43015,elderly person trapped,2024-09-26T12:01:53.482527,Speaker 2
Speaker 2: There's a industrial fire at 105 SHELBOURNE FOREST WAY. Casualties reported: elderly person trapped,industrial fire,105 SHELBOURNE FOREST WAY,DELAWARE,43015,elderly person trapped,2025-01-22T04:39:53.482584,Speaker 2
Speaker 2: There's a kitchen fire at 458 ROCHDALE RUN. Casualties reported: elderly person trapped,kitchen fire,458 ROCHDALE RUN,DELAWARE,43015,elderly person trapped,2025-02-08T03:07:53.482638,Speaker 2
Speaker 2: There's a structure fire at 580 PENNSYLVANIA AVE. Casualties reported: unknown number trapped,structure fire,580 PENNSYLVANIA AVE,DELAWARE,43015,unknown number trapped,2024-04-16T18:28:53.482697,Speaker 2
Speaker 2: There's a electrical fire at 1870 CHRISTIANA LN. Casualties reported: elderly person trapped,electrical fire,1870 CHRISTIANA LN,DELAWARE,43015,elderly person trapped,2024-04-25T23:48:53.482770,Speaker 2
Speaker 2: There's a false alarm at 5851 US HIGHWAY 42 N. Casualties reported: pets inside,false alarm,5851 US HIGHWAY 42 N,DELAWARE,43015,pets inside,2024-07-23T22:26:53.482837,Speaker 2
Speaker 2: There's a wildfire at 214 N UNION ST. No one is hurt.,wildfire,214 N UNION ST,DELAWARE,43015,none,2024-12-17T21:45:53.482906,Speaker 2
Speaker 2: There's a gas leak at 368 E WILLIAM ST. No one is hurt.,gas leak,368 E WILLIAM ST,DELAWARE,43015,none,2024-05-18T18:51:53.482957,Speaker 2
Speaker 2: There's a wildfire at 310 N UNION ST. Casualties reported: pets inside,wildfire,310 N UNION ST,DELAWARE,43015,pets inside,2024-08-20T05:23:53.483021,Speaker 2
Speaker 2: There's a electrical fire at 4082 COPELAND CT. Casualties reported: caller escaped alone,electrical fire,4082 COPELAND CT,DELAWARE,43015,caller escaped alone,2024-04-11T10:45:53.483076,Speaker 2
Speaker 2: There's a gas leak at 457 DURHAM LN. Casualties reported: elderly person trapped,gas leak,457 DURHAM LN,DELAWARE,43015,elderly person trapped,2024-07-05T05:21:53.483128,Speaker 2
Speaker 2: There's a wildfire at 81 N WASHINGTON ST APT B. Casualties reported: unknown number trapped,wildfire,81 N WASHINGTON ST APT B,DELAWARE,43015,unknown number trapped,2024-06-16T05:23:53.483179,Speaker 2
Speaker 2: There's a industrial fire at 866 COVERED BRIDGE DR. Casualties reported: pets inside,industrial fire,866 COVERED BRIDGE DR,DELAWARE,43015,pets inside,2024-07-25T04:27:53.483249,Speaker 2
Speaker 2: There's a gas leak at 368 AMBER LIGHT CIR. Casualties reported: unknown number trapped,gas leak,368 AMBER LIGHT CIR,DELAWARE,43015,unknown number trapped,2025-01-14T14:22:53.483302,Speaker 2
Speaker 2: There's a electrical fire at 7956 FARGO LN. Casualties reported: elderly person trapped,electrical fire,7956 FARGO LN,DELAWARE,43015,elderly person trapped,2025-01-06T23:41:53.483353,Speaker 2
Speaker 2: There's a electrical fire at 381 HAWTHORN BLVD. Casualties reported: elderly person trapped,electrical fire,381 HAWTHORN BLVD,DELAWARE,43015,elderly person trapped,2024-08-02T21:31:53.483419,Speaker 2
Speaker 2: There's a gas leak at 524 ABLEMARLE CIR. Casualties reported: children trapped,gas leak,524 ABLEMARLE CIR,DELAWARE,43015,children trapped,2025-02-25T06:22:53.483483,Speaker 2
Speaker 2: There's a false alarm at 230 N UNION ST. Casualties reported: pets inside,false alarm,230 N UNION ST,DELAWARE,43015,pets inside,2024-07-09T22:44:53.483537,Speaker 2
Speaker 2: There's a kitchen fire at 83 HARVEST MOON RD. No one is hurt.,kitchen fire,83 HARVEST MOON RD,DELAWARE,43015,none,2025-02-11T19:20:53.483610,Speaker 2
Speaker 2: There's a industrial fire at 214 FAIRWAY RD. No one is hurt.,industrial fire,214 FAIRWAY RD,DELAWARE,43015,none,2024-08-31T16:09:53.483663,Speaker 2
Speaker 2: There's a vehicle fire at 14 WILLOW ST. Casualties reported: pets inside,vehicle fire,14 WILLOW ST,DELAWARE,43015,pets inside,2024-12-12T03:08:53.483715,Speaker 2
Speaker 2: There's a false alarm at 157 TROTTER'S CIR. No one is hurt.,false alarm,157 TROTTER'S CIR,DELAWARE,43015,none,2025-01-09T19:16:53.483772,Speaker 2
Speaker 2: There's a structure fire at 124 BRAZOS DR. No one is hurt.,structure fire,124 BRAZOS DR,DELAWARE,43015,none,2024-04-08T05:04:53.483839,Speaker 2
Speaker 2: There's a kitchen fire at 23 WILLOW BROOK WAY. Casualties reported: children trapped,kitchen fire,23 WILLOW BROOK WAY,DELAWARE,43015,children trapped,2025-03-08T14:18:53.483902,Speaker 2
Speaker 2: There's a wildfire at 338 HARVEST WALK LOOP. Casualties reported: elderly person trapped,wildfire,338 HARVEST WALK LOOP,DELAWARE,43015,elderly person trapped,2024-08-30T02:16:53.483963,Speaker 2
Speaker 2: There's a false alarm at 428 LACKEY OLD STATE RD. Casualties reported: pets inside,false alarm,428 LACKEY OLD STATE RD,DELAWARE,43015,pets inside,2024-06-06T16:02:53.484015,Speaker 2
Speaker 2: There's a electrical fire at 60 TANGLEWOOD DR APT 5. Casualties reported: unknown number trapped,electrical fire,60 TANGLEWOOD DR APT 5,DELAWARE,43015,unknown number trapped,2024-10-23T09:51:53.484077,Speaker 2
Speaker 2: There's a kitchen fire at 375 HICKORY LN. Casualties reported: caller trapped,kitchen fire,375 HICKORY LN,DELAWARE,43015,caller trapped,2025-01-06T09:44:53.484137,Speaker 2
Speaker 2: There's a gas leak at 2911 S OLD STATE RD Area2-B15. Casualties reported: caller trapped,gas leak,2911 S OLD STATE RD Area2-B15,DELAWARE,43015,caller trapped,2024-07-31T18:56:53.484199,Speaker 2
Speaker 2: There's a wildfire at 371 FEDERAL CIR. Casualties reported: elderly person trapped,wildfire,371 FEDERAL CIR,DELAWARE,43015,elderly person trapped,2024-11-11T21:02:53.484253,Speaker 2
Speaker 2: There's a vehicle fire at 644 EAGLE WALK RD. Casualties reported: children trapped,vehicle fire,644 EAGLE WALK RD,DELAWARE,43015,children trapped,2024-05-26T10:04:53.484332,Speaker 2
Speaker 2: There's a false alarm at 316 N SANDUSKY ST. Casualties reported: unknown number trapped,false alarm,316 N SANDUSKY ST,DELAWARE,43015,unknown number trapped,2024-11-12T00:50:53.484386,Speaker 2
Speaker 2: There's a vehicle fire at 1497 FOREST BROOKE WAY UNIT 383. No one is hurt.,vehicle fire,1497 FOREST BROOKE WAY UNIT 383,DELAWARE,43015,none,2024-10-20T13:18:53.484438,Speaker 2
Speaker 2: There's a gas leak at 92 PIN OAK PL. Casualties reported: children trapped,gas leak,92 PIN OAK PL,DELAWARE,43015,children trapped,2024-05-23T08:19:53.484513,Speaker 2
Speaker 2: There's a electrical fire at 135 CEDAR CREEK ST. No one is hurt.,electrical fire,135 CEDAR CREEK ST,DELAWARE,43015,none,2024-04-18T00:10:53.484568,Speaker 2
Speaker 2: There's a false alarm at 304 LONDON RD. Casualties reported: elderly person trapped,false alarm,304 LONDON RD,DELAWARE,43015,elderly person trapped,2024-10-14T19:35:53.484634,Speaker 2
Speaker 2: There's a kitchen fire at 1610 STATE ROUTE 521. Casualties reported: unknown number trapped,kitchen fire,1610 STATE ROUTE 521,DELAWARE,43015,unknown number trapped,2024-07-22T00:40:53.484697,Speaker 2
Speaker 2: There's a vehicle fire at 30 WILLIAMS DR. Casualties reported: caller trapped,vehicle fire,30 WILLIAMS DR,DELAWARE,43015,caller trapped,2024-07-18T01:17:53.484750,Speaker 2
Speaker 2: There's a electrical fire at 75 FIELDCREST DR. Casualties reported: caller escaped alone,electrical fire,75 FIELDCREST DR,DELAWARE,43015,caller escaped alone,2024-05-20T07:41:53.484801,Speaker 2
Speaker 2: There's a vehicle fire at 160 TRESTLETREE CT. Casualties reported: caller trapped,vehicle fire,160 TRESTLETREE CT,DELAWARE,43015,caller trapped,2024-12-06T05:31:53.484862,Speaker 2
Speaker 2: There's a structure fire at 33 FLAX ST STE 107. Casualties reported: elderly person trapped,structure fire,33 FLAX ST STE 107,DELAWARE,43015,elderly person trapped,2024-05-29T00:10:53.484948,Speaker 2
Speaker 2: There's a wildfire at 190 N SANDUSKY ST APT A. Casualties reported: elderly person trapped,wildfire,190 N SANDUSKY ST APT A,DELAWARE,43015,elderly person trapped,2025-01-20T13:39:53.485034,Speaker 2
Speaker 2: There's a kitchen fire at 195 VILLAGE GATE BLVD. Casualties reported: caller escaped alone,kitchen fire,195 VILLAGE GATE BLVD,DELAWARE,43015,caller escaped alone,2024-06-21T12:58:53.485089,Speaker 2
Speaker 2: There's a wildfire at 99 WOODROW AVE. No one is hurt.,wildfire,99 WOODROW AVE,DELAWARE,43015,none,2025-03-30T03:51:53.485162,Speaker 2
Speaker 2: There's a false alarm at 355 HEARTHSTONE DR. No one is hurt.,false alarm,355 HEARTHSTONE DR,DELAWARE,43015,none,2024-04-23T17:58:53.485233,Speaker 2
Speaker 2: There's a electrical fire at 1958 ASHBURN DR. Casualties reported: elderly person trapped,electrical fire,1958 ASHBURN DR,DELAWARE,43015,elderly person trapped,2024-09-14T03:45:53.485287,Speaker 2
Speaker 2: There's a wildfire at 79 STONEBROOK DR. Casualties reported: pets inside,wildfire,79 STONEBROOK DR,DELAWARE,43015,pets inside,2025-03-15T15:16:53.485356,Speaker 2
